
2025/10/22 (02:36:09) | ===> btop++ v.1.3.2
2025/10/22 (02:36:09) | WARNING: Failed to join _runner thread on exit!

2025/10/22 (02:38:22) | ===> btop++ v.1.3.2
2025/10/22 (02:38:22) | WARNING: Failed to join _runner thread on exit!

2025/10/22 (02:38:27) | ===> btop++ v.1.3.2
2025/10/22 (02:38:27) | WARNING: Failed to join _runner thread on exit!

2025/10/22 (02:39:06) | ===> btop++ v.1.3.2
2025/10/22 (02:39:06) | WARNING: Failed to join _runner thread on exit!

2025/10/22 (02:41:53) | ===> btop++ v.1.3.2
2025/10/22 (02:41:53) | WARNING: Failed to join _runner thread on exit!

2025/10/22 (02:44:03) | ===> btop++ v.1.3.2
2025/10/22 (02:44:03) | WARNING: Failed to join _runner thread on exit!

2025/10/27 (23:09:51) | ===> btop++ v.1.3.2
2025/10/27 (23:09:51) | WARNING: Failed to join _runner thread on exit!

2025/10/27 (23:10:07) | ===> btop++ v.1.3.2
2025/10/27 (23:10:07) | WARNING: Failed to join _runner thread on exit!

2025/10/27 (23:30:59) | ===> btop++ v.1.3.2
2025/10/27 (23:30:59) | WARNING: Failed to join _runner thread on exit!

2025/10/30 (00:01:57) | ===> btop++ v.1.3.2
2025/10/30 (00:01:57) | WARNING: Failed to join _runner thread on exit!

2025/11/02 (05:05:00) | ===> btop++ v.1.3.2
2025/11/02 (05:05:00) | WARNING: Failed to join _runner thread on exit!

2025/11/03 (00:03:31) | ===> btop++ v.1.3.2
2025/11/03 (00:03:31) | WARNING: Failed to join _runner thread on exit!

2025/11/18 (03:33:29) | ===> btop++ v.1.3.2
2025/11/18 (03:33:29) | WARNING: Failed to join _runner thread on exit!

2025/11/18 (05:41:29) | ===> btop++ v.1.3.2
2025/11/18 (05:41:29) | WARNING: Failed to join _runner thread on exit!

2025/11/20 (00:06:08) | ===> btop++ v.1.3.2
2025/11/20 (00:06:08) | WARNING: Failed to join _runner thread on exit!

2025/11/24 (05:56:44) | ===> btop++ v.1.3.2
2025/11/24 (05:56:44) | WARNING: Failed to join _runner thread on exit!
